categoria,pregunta,opcionA,opcionB,opcionC,opcionD,respuestaCorrecta
Fácil,¿Dónde está Transilvania?,Colombia,Egipto,El Vaticano,Rumania,D
Fácil,¿Cuál es el país con menos habitantes del mundo?,El Vaticano,India,China,Alemania,A
Fácil,¿En qué año cayó el muro de Berlín?,1989,1998,2011,1945,A
Fácil,¿Cuál es el himno de la Unión Europea?,Du Hast,Help,Oda a la Alegría,I kissed a Girl,C
Fácil,¿Cuál es el océano más grande del mundo?,Atlantico,Pacífico,Caribe,La laguna de tota,B
Principiante,¿Cuándo llegó Cristóbal Colón a América?,31 de octubre de 1942,12 de octubre de 1492,1 de septiembre de 1813,El 13 de octubre de 1493,B
Principiante,¿Cuántos lados tiene un heptágono?,6,7,9,14,B
Principiante,¿Cuál es el atleta con más medallas olímpicas?,Michael Phelps,Larisa Latynina,Amy Van Dyken,Gert Fredriksson,A
Principiante,¿Cuál es el animal que más muertes provoca cada año?,Tiburon,Elefante,Mosquito,Araña,C
Principiante,¿Cuál fue la primera civilización humana?,Sumerios,Mongoles,Hungaros,Africanos,A
Leyenda,¿Qué religión tiene la Torá como su libro sagrado?,Judaismo,Catolicismo,Chamanismo,Budismo,A
Leyenda,¿Cuál es la luna más grande de Saturno?,Titán,Ceres,Europa,Encelado,A
Leyenda,Si P = M+N; ¿Cuál de las siguientes fórmulas es correcta?,M = P + N,N = P + M,M = P – N,N = P / M,C
Leyenda,¿Cuántas estrellas hay en la bandera estadounidense?,50,49,51,52,A
Leyenda,¿Cuál es la película más taquillera de la historia?,Spider-man: Far from Home,Vengadores: Endgame,El señor de los anillos,Harry Potter 8: Parte 2,B
Conocedor,¿Cuál es el futbolista con más balones de oro?,Lionel Messi,Cristiano Ronaldo,Ronaldinho,Pelé,A
Conocedor,¿Dónde se lanzaron las primeras bombas atómicas?,Japón,Alemania,Rusia,EEUU,A
Conocedor,¿Cuándo se inventó la imprenta?,1200 AC,1440,1543,200AC,B
Conocedor,¿Cuál es el animal más rápido?,El halcón peregrino,Leopardo,Tigre,Jirafa,A
Conocedor,¿Quién dirigió la trilogía de El Padrino?,Francis Ford Coppola,Christopher Nolan,Quentin Tarantino,Alfred Hitchcock,A
Profesional,¿Cuál fue la primera película de Disney?,Wall-e,Pocahontas,Blancanieves y los siete enanitos,Moana,C
Profesional,¿Cuál es la ciudad más poblada del mundo?,Budapest,Tokio,Estalingrado,Egipto,B
Profesional,¿Cuál es el planeta más alejado del Sol?,Pluton,Neptuno,Mercurio,Jupiter,B
Profesional,¿Cuándo asesinaron al presidente John F. Kennedy?,22 de noviembre de 1963,22 de noviembre de 1964,15 de octubre de 1964,15 de octubre de 1963,A
Profesional,¿Cuántos dientes tenemos?,30,24,32,45,C
